customer_id,age,gender,tenure_months,total_orders,avg_order_value,total_spent,last_purchase_days,app_opens_last_30d,support_tickets,satisfaction_score,referrals,discount_usage,membership,churn
CUST0088,25,Female,4,1,2133,2133,155,7,4,1.7,3,No,Free,Yes
CUST0089,53,Female,47,33,1361,44913,152,8,0,2.0,0,Yes,Free,No
CUST0090,46,Male,59,68,1513,102884,104,14,1,2.7,3,Yes,Silver,No
CUST0091,59,Male,21,7,3799,26593,30,25,5,4.6,1,No,Platinum,No
CUST0092,29,Female,37,9,2006,18054,96,15,0,3.3,4,Yes,Free,No
CUST0093,31,Female,56,16,3705,59280,50,23,2,4.9,5,Yes,Free,No
CUST0094,65,Female,41,5,1477,7385,57,21,5,1.4,2,No,Silver,No
CUST0095,67,Female,2,2,3961,7922,33,24,2,2.8,0,No,Gold,No
CUST0096,38,Female,59,23,2317,53291,20,30,2,2.7,0,No,Gold,No
CUST0097,39,Female,7,11,4184,46024,36,26,4,3.4,5,No,Free,No
CUST0098,38,Male,49,89,4558,405662,63,20,2,4.2,2,No,Gold,No
CUST0099,61,Male,16,25,3134,78350,146,3,0,4.4,3,Yes,Free,No
CUST0100,67,Male,17,13,4166,54158,123,7,1,3.7,2,Yes,Silver,No
CUST0101,47,Male,20,24,1448,34752,100,11,4,3.6,4,Yes,Free,No
CUST0102,56,Female,58,11,973,10703,118,8,1,4.8,1,No,Free,No
CUST0103,37,Male,23,17,1067,18139,84,19,2,2.5,2,No,Platinum,No
CUST0104,41,Female,34,37,3932,145484,77,16,3,4.3,2,Yes,Silver,No
CUST0105,40,Female,11,13,4523,58799,180,0,5,4.7,1,Yes,Free,Yes
CUST0106,24,Male,34,62,2758,170996,103,11,4,3.0,5,No,Gold,No
CUST0107,26,Male,33,8,3644,29152,71,20,2,3.9,0,Yes,Silver,No
CUST0108,18,Female,26,29,4810,139490,102,14,4,2.5,5,Yes,Free,Yes
CUST0109,43,Male,2,4,2482,9928,76,18,3,1.6,4,No,Silver,Yes
CUST0110,55,Male,23,19,1596,30324,109,9,0,3.3,5,Yes,Silver,No
CUST0111,55,Male,41,70,4070,284900,18,27,0,1.8,2,Yes,Free,No
CUST0112,61,Male,22,44,3890,171160,129,10,5,2.8,2,No,Platinum,Yes
CUST0113,39,Female,58,60,3172,190320,133,5,0,4.5,0,No,Silver,No
CUST0114,61,Female,34,41,4146,169986,156,7,3,1.3,4,Yes,Gold,Yes
CUST0115,27,Female,60,21,2919,61299,168,4,1,1.1,1,No,Silver,Yes
CUST0116,23,Female,15,25,4779,119475,178,0,3,3.4,1,No,Silver,Yes
CUST0117,34,Female,10,10,3848,38480,132,9,3,2.3,3,Yes,Free,Yes
CUST0118,68,Male,15,10,1173,11730,168,4,2,2.7,4,No,Silver,Yes
CUST0119,67,Female,42,74,3302,244348,61,20,0,2.6,4,Yes,Gold,No
CUST0120,55,Female,29,52,2869,149188,157,6,4,1.3,2,Yes,Free,Yes
CUST0121,41,Female,57,29,1566,45414,102,13,5,1.0,3,Yes,Silver,Yes
CUST0122,68,Female,23,16,1187,18992,99,15,1,4.6,1,No,Free,No
CUST0123,27,Male,59,65,568,36920,154,3,4,1.9,4,Yes,Gold,Yes
CUST0124,25,Male,17,17,2603,44251,177,4,2,2.7,4,No,Platinum,Yes
CUST0125,38,Male,60,30,919,27570,51,25,2,4.9,0,No,Silver,No
CUST0126,23,Male,9,14,4498,62972,48,21,1,4.3,1,Yes,Free,No
CUST0127,38,Female,50,19,3097,58843,99,17,4,1.4,0,No,Silver,Yes
CUST0128,56,Female,36,53,4838,256414,125,12,1,3.0,3,Yes,Gold,No
CUST0129,41,Male,9,17,2624,44608,117,14,1,3.9,4,Yes,Platinum,No
CUST0130,50,Female,16,14,4392,61488,53,24,0,3.8,3,Yes,Free,No
CUST0131,35,Male,36,53,939,49767,118,12,4,4.0,5,Yes,Gold,No
CUST0132,45,Male,48,64,1786,114304,132,11,0,2.8,0,Yes,Free,No
CUST0133,69,Male,51,45,1708,76860,136,9,0,1.7,1,No,Gold,No
CUST0134,49,Male,33,49,1578,77322,161,7,5,2.9,4,Yes,Gold,Yes
CUST0135,29,Female,55,19,3063,58197,97,14,0,3.6,5,Yes,Gold,No
CUST0136,65,Male,31,60,4123,247380,35,22,3,3.4,5,Yes,Silver,No
CUST0137,59,Female,6,7,1753,12271,147,3,2,1.3,1,Yes,Silver,Yes
CUST0138,44,Female,10,17,3857,65569,80,14,2,1.3,3,Yes,Gold,No
CUST0139,27,Male,16,1,3709,3709,84,16,3,4.9,5,Yes,Silver,No
CUST0140,63,Female,4,5,4049,20245,82,14,1,1.6,2,Yes,Free,Yes
CUST0141,69,Female,54,70,1114,77980,62,21,4,2.2,1,Yes,Platinum,Yes
CUST0142,59,Male,22,26,3578,93028,66,17,4,4.1,5,Yes,Free,No
CUST0143,49,Female,13,2,3223,6446,157,2,4,2.6,1,Yes,Silver,Yes
CUST0144,59,Male,16,27,3990,107730,2,33,0,1.7,1,Yes,Free,No
CUST0145,43,Male,52,96,4043,388128,176,0,4,2.9,4,No,Free,Yes
CUST0146,42,Male,29,57,2400,136800,41,21,4,3.3,3,No,Silver,No
CUST0147,28,Female,6,6,4871,29226,23,25,4,2.8,3,No,Silver,No
CUST0148,40,Female,26,5,2212,11060,43,25,2,4.7,4,Yes,Free,No
CUST0149,51,Male,11,5,2829,14145,128,6,3,2.1,1,Yes,Free,Yes
CUST0150,69,Male,24,31,4119,127689,114,13,5,3.6,1,Yes,Free,No
CUST0151,57,Female,29,12,1694,20328,179,2,1,1.4,2,Yes,Gold,Yes
CUST0152,40,Male,3,3,1878,5634,35,27,3,2.6,5,Yes,Free,Yes
CUST0153,46,Male,52,94,1812,170328,37,25,4,4.0,1,Yes,Platinum,No
CUST0154,48,Female,10,16,3415,54640,171,2,1,1.9,5,Yes,Free,Yes
CUST0155,24,Female,60,6,1249,7494,81,17,1,3.4,0,Yes,Platinum,No
CUST0156,57,Male,1,1,800,800,174,4,3,1.6,5,Yes,Silver,Yes
CUST0157,50,Female,52,15,4482,67230,28,28,3,1.4,1,Yes,Free,No
CUST0158,38,Female,43,61,4337,264557,178,0,3,3.1,2,Yes,Free,Yes
CUST0159,19,Male,26,16,777,12432,40,25,5,3.7,0,Yes,Gold,No
CUST0160,35,Female,58,20,3058,61160,87,13,3,1.5,2,Yes,Platinum,Yes
CUST0161,64,Male,12,13,4417,57421,47,22,5,4.7,5,Yes,Platinum,No
CUST0162,50,Female,14,12,2661,31932,113,13,0,1.9,2,Yes,Silver,No
CUST0163,54,Female,25,42,1889,79338,21,24,2,1.5,5,Yes,Free,No
CUST0164,51,Female,8,14,1190,16660,98,15,5,1.8,3,Yes,Free,Yes
CUST0165,37,Male,43,34,3968,134912,16,29,2,1.7,5,Yes,Free,No
CUST0166,52,Female,4,8,2348,18784,85,13,4,1.4,4,No,Free,Yes
CUST0167,68,Male,28,29,4316,125164,132,9,0,4.2,2,No,Silver,No
CUST0168,67,Male,7,3,1439,4317,60,21,1,3.0,1,No,Silver,No
CUST0169,35,Male,10,9,3682,33138,88,17,3,2.6,3,Yes,Gold,Yes
CUST0170,63,Female,51,75,3809,285675,133,11,4,4.8,0,Yes,Free,No
CUST0171,41,Female,57,75,2550,191250,180,0,1,2.5,5,Yes,Free,Yes
CUST0172,25,Male,58,25,2246,56150,80,15,2,1.7,4,No,Free,No
CUST0173,47,Female,36,42,2951,123942,94,16,1,2.1,3,No,Gold,No
CUST0174,61,Male,2,2,524,1048,144,9,3,2.0,2,No,Platinum,Yes
CUST0175,70,Female,26,46,3056,140576,58,18,3,3.0,3,Yes,Free,No
CUST0176,27,Male,53,73,560,40880,166,5,5,2.2,1,Yes,Silver,Yes
CUST0177,40,Female,50,84,622,52248,53,23,5,3.1,1,Yes,Silver,No
CUST0178,69,Male,14,27,2602,70254,125,13,2,3.7,1,No,Silver,No
CUST0179,66,Female,58,21,1686,35406,175,1,3,4.1,4,Yes,Free,Yes
CUST0180,28,Male,16,10,2230,22300,164,6,0,3.8,3,Yes,Silver,No
CUST0181,19,Male,54,22,4589,100958,47,23,4,1.8,3,Yes,Free,No
CUST0182,43,Male,43,29,2972,86188,67,21,2,1.5,2,No,Gold,No
CUST0183,53,Female,42,63,3465,218295,106,14,2,3.2,0,Yes,Free,No
CUST0184,50,Female,17,9,2777,24993,77,17,1,1.8,1,No,Silver,No
CUST0185,64,Male,46,61,4587,279807,76,20,2,1.3,0,Yes,Silver,No
CUST0186,30,Female,22,5,3464,17320,26,24,4,3.1,0,Yes,Gold,No
CUST0187,57,Female,4,8,1810,14480,87,13,0,2.3,1,Yes,Free,Yes
CUST0188,42,Female,19,11,654,7194,154,8,1,4.0,1,No,Silver,No
CUST0189,21,Female,2,1,2712,2712,71,16,4,2.3,2,No,Gold,Yes
CUST0190,59,Male,39,65,3753,243945,179,0,5,4.9,4,Yes,Free,Yes
CUST0191,36,Male,9,7,1762,12334,46,20,2,4.0,1,Yes,Silver,No
CUST0192,35,Female,60,60,1862,111720,102,13,3,1.2,0,Yes,Free,Yes
CUST0193,54,Female,19,5,1437,7185,20,30,5,3.0,2,Yes,Gold,No
CUST0194,47,Female,16,17,1011,17187,114,9,3,3.3,3,Yes,Free,No
CUST0195,36,Male,54,22,686,15092,56,22,4,3.8,2,No,Silver,No
CUST0196,40,Male,25,26,2345,60970,104,14,0,3.0,1,Yes,Free,No
CUST0197,33,Female,48,53,2202,116706,94,14,3,2.9,5,Yes,Free,Yes
CUST0198,18,Female,18,6,890,5340,169,3,4,2.5,1,No,Silver,Yes
CUST0199,29,Female,23,32,1154,36928,109,10,1,2.1,4,No,Silver,No
CUST0200,41,Female,53,11,4771,52481,175,2,2,4.8,2,Yes,Silver,No
CUST0201,51,Female,21,10,3321,33210,26,26,0,2.3,1,Yes,Free,No
CUST0202,70,Male,11,15,1263,18945,127,11,0,1.3,0,No,Silver,No
CUST0203,25,Male,39,39,3900,152100,160,5,1,1.7,0,Yes,Free,No
CUST0204,35,Female,41,31,3767,116777,75,15,0,4.4,2,Yes,Free,No
CUST0205,65,Female,4,4,1585,6340,34,22,4,3.3,4,No,Gold,No
CUST0206,22,Male,25,44,2429,106876,97,16,0,4.1,5,No,Gold,No
CUST0207,43,Male,32,16,4876,78016,143,4,0,4.2,2,No,Free,No
CUST0208,47,Female,30,38,2463,93594,35,22,0,4.3,4,Yes,Free,No
CUST0209,30,Male,45,67,2285,153095,65,20,4,3.2,0,Yes,Free,No
CUST0210,36,Male,59,66,2774,183084,55,21,5,1.7,1,Yes,Gold,No
CUST0211,46,Female,26,52,3186,165672,144,6,2,1.6,3,Yes,Gold,No
CUST0212,20,Female,57,5,3468,17340,147,7,3,3.3,1,Yes,Silver,No
CUST0213,43,Female,36,11,1215,13365,93,17,5,2.5,0,Yes,Gold,Yes
CUST0214,57,Male,51,25,742,18550,105,10,0,3.2,5,Yes,Platinum,No
CUST0215,29,Female,34,35,4415,154525,83,16,1,3.0,0,No,Platinum,No
CUST0216,19,Male,9,3,2023,6069,135,10,1,3.4,1,No,Platinum,No
CUST0217,28,Male,12,22,1337,29414,145,5,4,1.1,1,Yes,Gold,Yes
CUST0218,61,Female,2,1,3823,3823,17,25,2,1.1,5,Yes,Free,No
CUST0219,45,Female,38,55,3453,189915,145,4,0,3.9,5,Yes,Free,No
CUST0220,35,Female,5,3,1845,5535,124,12,4,1.8,0,Yes,Gold,Yes
CUST0221,30,Female,5,5,2923,14615,1,31,3,3.6,1,Yes,Free,No
CUST0222,54,Female,52,72,2528,182016,75,17,2,3.2,3,No,Free,No
CUST0223,39,Male,22,20,1932,38640,178,3,2,4.9,3,Yes,Free,No
CUST0224,29,Male,5,10,739,7390,137,10,4,4.3,2,Yes,Gold,No
CUST0225,19,Male,59,98,638,62524,141,7,5,2.7,3,Yes,Silver,Yes
CUST0226,54,Male,4,4,3693,14772,25,24,1,3.5,0,Yes,Free,No
CUST0227,24,Female,9,18,919,16542,46,23,5,1.5,0,Yes,Silver,No
CUST0228,43,Male,29,51,803,40953,29,24,2,2.5,2,No,Platinum,No
CUST0229,43,Female,22,4,2662,10648,55,19,1,3.9,4,No,Silver,No
CUST0230,41,Female,27,20,2526,50520,118,12,2,3.5,2,No,Silver,No
CUST0231,29,Female,10,9,4602,41418,169,4,2,2.9,4,Yes,Free,Yes
CUST0232,33,Female,16,16,2726,43616,131,9,2,1.7,4,No,Free,No
CUST0233,40,Female,42,26,1668,43368,138,7,3,4.2,1,Yes,Silver,No
CUST0234,57,Female,42,25,915,22875,151,4,1,2.1,5,No,Gold,Yes
CUST0235,26,Male,51,68,3213,218484,164,5,3,4.3,3,Yes,Platinum,No
CUST0236,49,Female,10,9,649,5841,129,6,1,3.4,4,No,Silver,No
CUST0237,32,Male,6,11,2944,32384,139,4,3,2.5,1,Yes,Free,Yes
CUST0238,54,Male,49,45,1338,60210,20,26,3,1.2,2,No,Gold,No
CUST0239,30,Female,5,9,2196,19764,67,17,3,1.9,2,Yes,Free,Yes
CUST0240,22,Male,58,38,4839,183882,125,9,4,4.6,4,Yes,Free,No
CUST0241,28,Female,6,5,2410,12050,42,22,3,4.3,1,Yes,Gold,No
CUST0242,27,Female,59,19,1921,36499,99,14,5,3.3,0,Yes,Gold,No
CUST0243,69,Female,56,14,3501,49014,122,9,5,2.9,5,Yes,Gold,Yes
CUST0244,30,Male,59,21,1820,38220,92,18,2,3.6,5,Yes,Silver,No
CUST0245,58,Male,47,15,4535,68025,139,5,0,2.9,3,Yes,Gold,No
CUST0246,70,Female,25,3,2023,6069,128,6,3,3.6,4,Yes,Free,No
CUST0247,63,Male,59,37,4378,161986,160,5,0,2.2,0,Yes,Free,No
CUST0248,67,Female,51,46,1052,48392,115,13,0,4.4,3,Yes,Gold,No
CUST0249,32,Female,50,16,4256,68096,114,10,2,3.8,0,Yes,Silver,No
CUST0250,59,Female,4,6,4171,25026,141,9,0,2.3,5,Yes,Free,Yes
CUST0251,24,Male,40,9,981,8829,118,10,0,4.3,1,Yes,Gold,No
CUST0252,57,Male,59,111,1099,121989,92,18,5,2.9,4,No,Gold,Yes
CUST0253,45,Female,48,7,1664,11648,141,9,0,1.7,0,No,Silver,No
CUST0254,49,Male,32,14,4732,66248,8,29,1,1.3,0,No,Silver,No
CUST0255,52,Male,56,6,1503,9018,72,18,3,3.8,0,Yes,Gold,No
CUST0256,32,Female,51,85,2482,210970,25,28,3,4.5,5,No,Gold,No
CUST0257,65,Female,52,15,2134,32010,176,0,0,4.2,4,Yes,Gold,No
CUST0258,53,Female,35,52,3497,181844,105,16,2,3.6,1,Yes,Silver,No
CUST0259,38,Female,10,8,1186,9488,144,9,1,1.6,1,No,Free,No
CUST0260,23,Male,34,34,3914,133076,67,18,2,1.4,0,No,Silver,No
CUST0261,18,Female,36,1,2259,2259,109,10,2,2.4,1,No,Free,Yes
CUST0262,21,Female,6,10,2980,29800,130,6,0,4.4,3,Yes,Free,No
CUST0263,28,Male,43,69,1837,126753,24,23,4,4.8,1,Yes,Free,No
CUST0264,61,Female,46,86,614,52804,20,30,0,2.0,0,Yes,Free,No
CUST0265,43,Female,16,20,4457,89140,139,8,5,4.0,3,Yes,Free,No
CUST0266,54,Female,59,80,1068,85440,53,19,4,3.3,4,No,Silver,No
CUST0267,40,Female,53,7,2053,14371,0,31,1,1.1,2,Yes,Silver,No
CUST0268,46,Female,19,7,3189,22323,127,9,4,3.2,5,Yes,Free,No
CUST0269,38,Male,34,50,3840,192000,0,31,0,4.2,1,Yes,Silver,No
CUST0270,65,Male,25,50,3488,174400,172,3,0,2.1,3,Yes,Silver,Yes
CUST0271,62,Female,31,2,3651,7302,173,0,2,4.6,2,No,Free,Yes
CUST0272,62,Female,49,47,4027,189269,175,4,0,1.9,4,Yes,Silver,Yes
CUST0273,66,Female,41,14,3515,49210,134,7,5,1.3,2,Yes,Gold,Yes
CUST0274,44,Female,17,31,1321,40951,9,32,0,1.6,4,Yes,Gold,No
CUST0275,56,Female,47,50,4074,203700,142,7,3,4.3,0,No,Free,No
CUST0276,57,Female,30,41,4287,175767,39,22,3,2.7,0,No,Gold,No
CUST0277,30,Female,39,14,2108,29512,138,8,2,4.2,5,Yes,Silver,No
CUST0278,40,Female,54,5,1059,5295,173,3,4,3.1,5,Yes,Silver,Yes
CUST0279,33,Female,55,75,4563,342225,44,25,4,2.9,4,Yes,Platinum,No
CUST0280,47,Female,31,40,4935,197400,86,17,3,4.2,2,No,Silver,No
CUST0281,21,Female,19,5,1111,5555,140,10,5,2.7,5,Yes,Free,Yes
CUST0282,57,Male,35,64,2663,170432,26,25,1,4.2,1,No,Gold,No
CUST0283,33,Male,29,29,2381,69049,49,20,5,1.4,2,Yes,Platinum,No
CUST0284,48,Male,59,75,4669,350175,60,23,3,3.5,5,No,Platinum,No
CUST0285,70,Female,1,1,4363,4363,12,30,5,3.8,2,Yes,Platinum,No
CUST0286,59,Male,4,1,4208,4208,139,10,1,4.6,1,Yes,Free,No
CUST0287,42,Male,28,54,2209,119286,156,1,4,1.9,2,Yes,Silver,Yes
CUST0288,61,Female,18,32,2261,72352,84,16,3,3.4,2,Yes,Silver,No
CUST0289,29,Male,26,36,2192,78912,83,16,0,2.7,3,Yes,Free,No
CUST0290,43,Female,40,79,1745,137855,19,25,1,2.5,4,Yes,Free,No
CUST0291,54,Male,19,19,625,11875,30,25,1,1.4,0,Yes,Gold,No
CUST0292,65,Male,55,64,1699,108736,7,26,1,1.5,5,No,Silver,No
CUST0293,50,Female,55,22,3211,70642,23,27,4,4.3,5,Yes,Silver,No
CUST0294,45,Male,60,34,3946,134164,166,5,5,4.0,5,No,Silver,No
CUST0295,26,Male,57,56,1490,83440,32,26,2,2.5,4,Yes,Free,No
CUST0296,29,Female,6,1,3565,3565,41,25,0,4.3,2,No,Gold,No
CUST0297,22,Female,1,2,2021,4042,142,6,3,1.3,1,Yes,Silver,Yes
CUST0298,69,Male,8,9,2998,26982,159,4,5,3.5,1,Yes,Silver,Yes
CUST0299,45,Female,33,56,3065,171640,138,10,1,4.5,0,Yes,Free,No
CUST0300,52,Male,51,17,3097,52649,93,16,4,4.4,0,Yes,Silver,No
CUST0301,22,Male,43,74,615,45510,36,23,1,2.5,0,Yes,Free,No
CUST0302,51,Female,21,28,1531,42868,146,5,5,4.0,1,No,Free,No
CUST0303,63,Female,24,18,1741,31338,178,3,3,2.7,2,Yes,Silver,Yes
CUST0304,51,Female,25,18,2242,40356,33,24,0,4.4,0,No,Free,No
CUST0305,30,Female,47,45,4138,186210,52,19,1,3.1,0,No,Platinum,No
CUST0306,56,Female,55,96,4899,470304,139,10,4,4.1,1,Yes,Silver,No
CUST0307,59,Female,57,78,4590,358020,95,16,4,1.3,5,No,Silver,Yes
CUST0308,62,Male,43,56,2475,138600,104,14,2,3.4,2,No,Free,No
CUST0309,65,Female,19,16,4683,74928,47,21,4,3.2,0,Yes,Free,No
CUST0310,31,Male,29,50,4903,245150,39,21,2,3.4,2,Yes,Silver,No
CUST0311,28,Male,53,58,663,38454,151,6,0,3.8,3,Yes,Platinum,No
CUST0312,59,Male,10,18,3810,68580,177,3,3,4.7,5,Yes,Free,Yes
CUST0313,55,Male,56,80,3888,311040,87,17,2,4.1,5,Yes,Silver,No
CUST0314,21,Female,12,17,1495,25415,42,21,1,1.9,0,No,Free,No
CUST0315,70,Female,33,7,2377,16639,16,28,5,4.3,0,Yes,Gold,No
CUST0316,50,Female,56,76,2323,176548,101,14,1,1.5,1,Yes,Silver,No
CUST0317,24,Male,7,2,2795,5590,161,1,3,3.5,5,No,Free,Yes
CUST0318,58,Male,17,10,3764,37640,110,11,4,4.5,3,Yes,Silver,No
CUST0319,25,Male,58,69,1848,127512,69,17,5,1.4,3,No,Platinum,Yes
CUST0320,54,Male,60,85,2303,195755,59,19,1,4.4,3,Yes,Silver,No
CUST0321,68,Female,10,3,2751,8253,178,2,5,4.2,4,Yes,Free,Yes
CUST0322,27,Female,31,19,3400,64600,76,20,2,3.0,1,Yes,Free,No
CUST0323,60,Female,60,109,2093,228137,34,26,3,2.2,1,No,Platinum,No
CUST0324,32,Male,6,12,932,11184,161,6,1,2.6,0,Yes,Silver,No
CUST0325,55,Female,17,6,4317,25902,15,26,4,4.9,1,No,Free,No
